Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time
2nd,C,01SEP08,C,C,01JUL09,C,C,C,2014-07-01
3rd,01APR11,01NOV03,01APR11,01JAN09,01OCT06,C,C,C,2014-07-01
Other Workers,01APR11,01NOV03,01APR11,01JAN09,01JAN03,C,C,C,2014-07-01
4th,C,C,C,C,C,C,C,C,2014-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-07-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-07-01
1st,C,C,C,C,C,C,C,C,2014-08-01
2nd,C,22JAN09,C,C,08OCT09,C,C,C,2014-08-01
3rd,01APR11,08NOV03,01APR11,01JUN10,01NOV08,C,C,C,2014-08-01
Other Workers,01APR11,08NOV03,01APR11,01JUN10,22JUL05,C,C,C,2014-08-01
4th,C,C,C,C,C,C,C,C,2014-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-08-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-08-01
1st,C,C,C,C,C,C,C,C,2014-09-01
2nd,C,01MAY09,C,C,08OCT09,C,C,C,2014-09-01
3rd,01APR11,08NOV03,01APR11,01APR11,01NOV08,C,C,C,2014-09-01
Other Workers,01APR11,08NOV03,01APR11,01APR11,22JUL05,C,C,C,2014-09-01
4th,C,C,C,C,C,C,C,C,2014-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-09-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-09-01
1st,C,C,C,C,C,C,C,C,2014-10-01
2nd,C,01MAY09,C,C,15NOV09,C,C,C,2014-10-01
3rd,01OCT11,15NOV03,01OCT11,01OCT11,01APR09,C,C,C,2014-10-01
Other Workers,01OCT11,15NOV03,01OCT11,01OCT11,22JUL05,C,C,C,2014-10-01
4th,C,C,C,C,C,C,C,C,2014-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-10-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-10-01
1st,C,C,C,C,C,C,C,C,2014-11-01
2nd,C,15FEB05,C,C,08DEC09,C,C,C,2014-11-01
3rd,01JUN12,22NOV03,01JUN12,01JUN12,01JAN10,C,C,C,2014-11-01
Other Workers,01JUN12,22NOV03,01JUN12,01JUN12,22JUL05,C,C,C,2014-11-01
4th,C,C,C,C,C,C,C,C,2014-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-11-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-11-01
1st,C,C,C,C,C,C,C,C,2014-12-01
2nd,C,15FEB05,C,C,01JAN10,C,C,C,2014-12-01
3rd,01NOV12,01DEC03,01NOV12,01NOV12,01JUN10,C,C,C,2014-12-01
Other Workers,01NOV12,01DEC03,01NOV12,01NOV12,22JUL05,C,C,C,2014-12-01
4th,C,C,C,C,C,C,C,C,2014-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-12-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-12-01
1st,C,C,C,C,C,C,C,C,2015-01-01
2nd,C,15FEB05,C,C,01FEB10,C,C,C,2015-01-01
3rd,01JUN13,15DEC03,01JUN13,01JUN13,01MAR11,C,C,C,2015-01-01
Other Workers,01JUN13,15DEC03,01JUN13,01JUN13,22JUL05,C,C,C,2015-01-01
4th,C,C,C,C,C,C,C,C,2015-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-01-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-01-01
1st,C,C,C,C,C,C,C,C,2015-02-01
2nd,C,01SEP05,C,C,15MAR10,C,C,C,2015-02-01
3rd,01JAN14,22DEC03,01JAN14,01JAN14,01SEP11,C,C,C,2015-02-01
Other Workers,01JAN14,22DEC03,01JAN14,01JAN14,15AUG05,C,C,C,2015-02-01
4th,C,C,C,C,C,C,C,C,2015-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-02-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-02-01
1st,C,C,C,C,C,C,C,C,2015-03-01
2nd,C,01JAN07,C,C,01SEP10,C,C,C,2015-03-01
3rd,01JUN14,01JAN04,01JUN14,01JUN14,22OCT11,C,C,C,2015-03-01
Other Workers,01JUN14,01JAN04,01JUN14,01JUN14,15AUG05,C,C,C,2015-03-01
4th,C,C,C,C,C,C,C,C,2015-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-03-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-03-01
1st,C,C,C,C,C,C,C,C,2015-04-01
2nd,C,01SEP07,C,C,01APR11,C,C,C,2015-04-01
3rd,01OCT14,08JAN04,01OCT14,01OCT14,01JAN11,C,C,C,2015-04-01
Other Workers,01OCT14,08JAN04,01OCT14,01OCT14,15AUG05,C,C,C,2015-04-01
4th,C,C,C,C,C,C,C,C,2015-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-04-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-04-01
1st,C,C,C,C,C,C,C,C,2015-05-01
2nd,C,15APR08,C,C,01JUN12,C,C,C,2015-05-01
3rd,01JAN15,15JAN04,01JAN15,01JUL07,01MAY11,C,C,C,2015-05-01
Other Workers,01JAN15,15JAN04,01JAN15,01JUL07,15NOV05,C,C,C,2015-05-01
4th,C,C,C,C,C,C,C,C,2015-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-05-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,01MAY13,C,C,C,2015-05-01
1st,C,C,C,C,C,C,C,C,2015-06-01
2nd,C,01OCT08,C,C,01JUN13,C,C,C,2015-06-01
3rd,15FEB15,22JAN04,15FEB15,01JAN05,01SEP11,C,C,C,2015-06-01
Other Workers,15FEB15,22JAN04,15FEB15,01JAN05,01JAN06,C,C,C,2015-06-01
4th,C,C,C,C,C,C,C,C,2015-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-06-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,01MAY13,C,C,C,2015-06-01
1st,C,C,C,C,C,C,C,C,2015-07-01
2nd,C,01OCT08,C,C,01OCT13,C,C,C,2015-07-01
3rd,01APR15,01FEB04,01APR15,U,01SEP11,C,C,C,2015-07-01
Other Workers,01APR15,01FEB04,01APR15,U,01JAN06,C,C,C,2015-07-01
4th,C,C,C,C,C,C,C,C,2015-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-07-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,01SEP13,C,C,C,2015-07-01
1st,C,C,C,C,C,C,C,C,2015-08-01
2nd,C,01OCT08,C,C,15DEC13,C,C,C,2015-08-01
3rd,15JUL15,01JUN04,15JUL15,01JUN04,01JUN04,C,C,C,2015-08-01
Other Workers,15JUL15,01JUN04,15JUL15,01JUN04,01JAN04,C,C,C,2015-08-01
4th,C,C,C,C,C,C,C,C,2015-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-08-01
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,01SEP13,C,C,C,2015-08-01
1st,C,C,C,C,C,C,C,C,2015-09-01
2nd,C,01JAN06,C,C,01JAN06,C,C,C,2015-09-01
3rd,15AUG15,22DEC04,15AUG15,22DEC04,22DEC04,C,C,C,2015-09-01
Other Workers,15AUG15,22DEC04,15AUG15,22DEC04,01JAN04,C,C,C,2015-09-01
4th,C,C,C,C,C,C,C,C,2015-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-09-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22SEP13,C,C,C,2015-09-01
5th Regional Center (I5 and R5),C,C,C,C,22SEP13,C,C,C,2015-09-01
1st,C,C,C,C,C,C,C,C,2015-10-01
2nd,C,01MAY05,C,C,01JAN12,C,C,C,2015-10-01
3rd,15AUG15,08MAR04,15AUG15,01JAN07,15OCT11,C,C,C,2015-10-01
Other Workers,15AUG15,08MAR04,15AUG15,01JAN07,01JAN06,C,C,C,2015-10-01
4th,C,C,C,C,C,C,C,C,2015-10-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2015-10-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08OCT13,C,C,C,2015-10-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,C,C,2015-10-01
1st,C,C,C,C,C,C,C,C,2015-11-01
2nd,C,01AUG06,C,C,01FEB12,C,C,C,2015-11-01
3rd,15AUG15,01APR04,15AUG15,15JUN07,01JAN12,C,C,C,2015-11-01
Other Workers,15AUG15,01APR04,15AUG15,15JUN07,01APR06,C,C,C,2015-11-01
4th,C,C,C,C,C,C,C,C,2015-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-11-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22NOV13,C,C,C,2015-11-01
5th Regional Center (I5 and R5),C,C,C,C,22NOV13,C,C,C,2015-11-01
1st,C,C,C,C,C,C,C,C,2015-12-01
2nd,C,01JUN07,C,C,01FEB12,C,C,C,2015-12-01
3rd,01SEP15,22APR04,01SEP15,01AUG07,15APR12,C,C,C,2015-12-01
Other Workers,01SEP15,22APR04,01SEP15,01AUG07,01AUG06,C,C,C,2015-12-01
4th,C,C,C,C,C,C,C,C,2015-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-12-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15DEC13,C,C,C,2015-12-01
5th Regional Center (I5 and R5),C,C,C,C,15DEC13,C,C,C,2015-12-01
1st,C,C,C,C,C,C,C,C,2016-01-01
2nd,C,01FEB08,C,C,01FEB12,C,C,C,2016-01-01
3rd,01OCT15,15MAY04,01OCT15,01NOV07,01JUL12,C,C,C,2016-01-01
Other Workers,01OCT15,15MAY04,01OCT15,01NOV07,01DEC06,C,C,C,2016-01-01
4th,C,C,C,C,C,C,C,C,2016-01-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2016-01-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08JAN14,C,C,C,2016-01-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,C,C,2016-01-01
1st,C,C,C,C,C,C,C,C,2016-02-01
2nd,C,01AUG08,C,C,01MAR12,C,C,C,2016-02-01
3rd,01OCT15,15JUN04,01OCT15,08JAN08,01OCT12,C,C,C,2016-02-01
Other Workers,01OCT15,15JUN04,01OCT15,08JAN08,22DEC06,C,C,C,2016-02-01
4th,C,C,C,C,C,C,C,C,2016-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2016-02-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15JAN14,C,C,C,2016-02-01
5th Regional Center (I5 and R5),C,C,C,C,15JAN14,C,C,C,2016-02-01
1st,C,C,C,C,C,C,C,C,2016-03-01
2nd,C,15OCT08,C,C,01AUG12,C,C,C,2016-03-01
3rd,01JAN16,15JUL04,01JAN16,15MAR08,01JUN13,C,C,C,2016-03-01
Other Workers,01JAN16,15JUL04,01JAN16,15MAR08,01FEB07,C,C,C,2016-03-01
4th,C,C,C,C,C,C,C,C,2016-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2016-03-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JAN14,C,C,C,2016-03-01
5th Regional Center (I5 and R5),C,C,C,C,22JAN14,C,C,C,2016-03-01
1st,C,C,C,C,C,C,C,C,2016-04-01
2nd,C,08NOV08,C,C,01SEP12,C,C,C,2016-04-01
3rd,15FEB16,08AUG04,15FEB16,01MAY08,15AUG13,C,C,C,2016-04-01
Other Workers,15FEB16,08AUG04,15FEB16,01MAY08,01MAR07,C,C,C,2016-04-01
4th,C,C,C,C,C,C,C,C,2016-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2016-04-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01FEB14,C,C,C,2016-04-01
5th Regional Center (I5 and R5),C,C,C,C,01FEB14,C,C,C,2016-04-01
1st,C,C,C,C,C,C,C,C,2016-05-01
2nd,C,22NOV08,C,C,01SEP12,C,C,C,2016-05-01
3rd,15FEB16,01SEP04,15FEB16,08AUG08,15AUG13,C,15FEB16,C,2016-05-01
Other Workers,15FEB16,01SEP04,15FEB16,08AUG08,22APR07,C,15FEB16,C,2016-05-01
4th,C,C,C,C,C,C,01JAN10,C,2016-05-01
Certain Religious Workers,C,C,C,C,C,C,01JAN10,C,2016-05-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08FEB14,C,C,C,2016-05-01
5th Regional Center (I5 and R5),C,C,C,C,08FEB14,C,C,C,2016-05-01
1st,C,C,C,C,C,C,C,C,2016-06-01
2nd,C,01OCT04,C,C,01JAN10,C,C,C,2016-06-01
3rd,15FEB16,22SEP04,15FEB16,01NOV08,01JAN10,C,15FEB16,C,2016-06-01
Other Workers,15FEB16,22SEP04,15FEB16,01NOV08,22APR07,C,15FEB16,C,2016-06-01
4th,C,C,C,C,C,C,01JAN10,C,2016-06-01
Certain Religious Workers,C,C,C,C,C,C,01JAN10,C,2016-06-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15FEB14,C,C,C,2016-06-01
5th Regional Center (I5 and R5),C,C,C,C,15FEB14,C,C,C,2016-06-01
1st,C,C,C,C,C,C,C,C,2016-07-01
2nd,C,01NOV04,C,C,01JAN10,C,C,C,2016-07-01
3rd,01MAR16,22OCT04,01MAR16,15FEB09,01JAN10,C,01MAR16,C,2016-07-01
Other Workers,01MAR16,22OCT04,01MAR16,15FEB09,01JAN04,C,01MAR16,C,2016-07-01
4th,C,C,01JAN10,C,C,C,01JAN10,C,2016-07-01
Certain Religious Workers,C,C,01JAN10,C,C,C,01JAN10,C,2016-07-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15FEB14,C,C,C,2016-07-01
5th Regional Center (I5 and R5),C,C,C,C,15FEB14,C,C,C,2016-07-01
1st,C,01JAN10,C,C,01JAN10,C,C,C,2016-08-01
2nd,01FEB14,15NOV04,01FEB14,01FEB14,01JAN10,C,01FEB14,C,2016-08-01
3rd,15MAR16,08NOV04,15MAR16,15MAY09,01JAN10,C,15MAR16,C,2016-08-01
Other Workers,15MAR16,08NOV04,15MAR16,15MAY09,01JAN04,C,15MAR16,C,2016-08-01
4th,C,01JAN10,01JAN10,C,C,C,01JAN10,C,2016-08-01
Certain Religious Workers,C,01JAN10,01JAN10,C,C,C,01JAN10,C,2016-08-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15FEB14,C,C,C,2016-08-01
5th Regional Center (I5 and R5),C,C,C,C,15FEB14,C,C,C,2016-08-01
1st,C,01JAN10,C,C,01JAN10,C,C,C,2016-09-01
2nd,01FEB14,22FEB05,01FEB14,01FEB14,01JAN10,C,01FEB14,C,2016-09-01
3rd,01MAY16,15FEB05,01MAY16,01JUL10,01JAN10,C,01MAY16,C,2016-09-01
Other Workers,01MAY16,15FEB05,01MAY16,01JUL10,01JAN04,C,01MAY16,C,2016-09-01
4th,C,01JAN10,01JAN10,C,C,C,01JAN10,C,2016-09-01
Certain Religious Workers,C,01JAN10,01JAN10,C,C,C,01JAN10,C,2016-09-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15FEB14,C,C,C,2016-09-01
5th Regional Center (I5 and R5),C,C,C,C,15FEB14,C,C,C,2016-09-01
1st,C,C,C,C,C,C,C,C,2016-10-01
2nd,C,15JAN07,C,C,15FEB12,C,C,C,2016-10-01
3rd,01JUN16,01MAR05,01JUN16,01DEC10,22JAN13,C,01JUN16,C,2016-10-01
Other Workers,01JUN16,01MAR05,01JUN16,01DEC10,01JAN05,C,01JUN16,C,2016-10-01
4th,C,C,C,C,C,C,15JUN15,C,2016-10-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2016-10-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22FEB14,C,C,C,2016-10-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2016-10-01
1st,C,C,C,C,C,C,C,C,2016-11-01
2nd,C,01NOV07,C,C,15JUL12,C,C,C,2016-11-01
3rd,01JUL16,08MAR05,01JUL16,01APR11,15APR13,C,01JUL16,C,2016-11-01
Other Workers,01JUL16,08MAR05,01JUL16,01APR11,01SEP05,C,01JUL16,C,2016-11-01
4th,C,C,C,C,C,C,15JUL15,C,2016-11-01
Certain Religious Workers,C,C,C,C,C,C,15JUL15,C,2016-11-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08MAR14,C,C,C,2016-11-01
5th Regional Center (I5 and R5),C,C,C,C,08MAR14,C,C,C,2016-11-01
1st,C,C,C,C,C,C,C,C,2016-12-01
2nd,C,01FEB08,C,C,22SEP12,C,C,C,2016-12-01
3rd,01JUL16,15MAR05,01JUL16,01JUN11,01JUL13,C,01JUL16,C,2016-12-01
Other Workers,01JUL16,15MAR05,01JUL16,01JUN11,01NOV05,C,01JUL16,C,2016-12-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2016-12-01
Certain Religious Workers,C,C,15JUL15,C,C,C,15JUL15,C,2016-12-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22MAR14,C,C,C,2016-12-01
5th Regional Center (I5 and R5),C,C,C,C,22MAR14,C,C,C,2016-12-01
1st,C,C,C,C,C,C,C,C,2017-01-01
2nd,C,15APR08,C,C,15OCT12,C,C,C,2017-01-01
3rd,01AUG16,15MAR05,01AUG16,22JUL11,08SEP13,C,01AUG16,C,2017-01-01
Other Workers,01AUG16,15MAR05,01AUG16,22JUL11,01DEC05,C,01AUG16,C,2017-01-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2017-01-01
Certain Religious Workers,C,C,15JUL15,C,C,C,15JUL15,C,2017-01-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08APR14,C,C,C,2017-01-01
5th Regional Center (I5 and R5),C,C,C,C,08APR14,C,C,C,2017-01-01
1st,C,C,C,C,C,C,C,C,2017-02-01
2nd,C,15APR08,C,C,15NOV12,C,C,C,2017-02-01
3rd,01OCT16,22MAR05,01OCT16,15OCT11,01OCT13,C,01OCT16,C,2017-02-01
Other Workers,01OCT16,22MAR05,01OCT16,15OCT11,01DEC05,C,01OCT16,C,2017-02-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2017-02-01
Certain Religious Workers,C,C,15JUL15,C,C,C,15JUL15,C,2017-02-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15APR14,C,C,C,2017-02-01
5th Regional Center (I5 and R5),C,C,C,C,15APR14,C,C,C,2017-02-01
1st,C,C,C,C,C,C,C,C,2017-03-01
2nd,C,01JUN08,C,C,15DEC12,C,C,C,2017-03-01
3rd,01DEC16,22MAR05,01DEC16,15MAR12,15MAR14,C,01DEC16,C,2017-03-01
Other Workers,01DEC16,22MAR05,01DEC16,15MAR12,01FEB06,C,01DEC16,C,2017-03-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2017-03-01
Certain Religious Workers,C,C,15JUL15,C,C,C,15JUL15,C,2017-03-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01MAY14,C,C,C,2017-03-01
5th Regional Center (I5 and R5),C,C,C,C,01MAY14,C,C,C,2017-03-01
1st,C,C,C,C,C,C,C,C,2017-04-01
2nd,C,22JUN08,C,C,15JAN13,C,C,C,2017-04-01
3rd,15FEB17,24MAR05,15FEB17,15SEP12,15AUG14,C,15FEB17,C,2017-04-01
Other Workers,15FEB17,24MAR05,15FEB17,15SEP12,01MAR06,C,15FEB17,C,2017-04-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2017-04-01
Certain Religious Workers,C,C,15JUL15,C,C,C,15JUL15,C,2017-04-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22MAY14,C,C,C,2017-04-01
5th Regional Center (I5 and R5),C,C,C,C,22MAY14,C,C,C,2017-04-01
1st,C,C,C,C,C,C,C,C,2017-05-01
2nd,C,22JUN08,C,C,08FEB13,C,C,C,2017-05-01
3rd,15MAR17,25MAR05,15MAR17,01JAN13,01OCT14,C,15MAR17,C,2017-05-01
Other Workers,15MAR17,25MAR05,15MAR17,01JAN13,08MAR06,C,15MAR17,C,2017-05-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2017-05-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2017-05-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01JUN14,C,C,C,2017-05-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2017-05-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2017-06-01
2nd,C,01JUL08,C,C,01MAR13,C,C,C,2017-06-01
3rd,15APR17,15MAY05,15APR17,01MAY13,01OCT14,C,15APR17,C,2017-06-01
Other Workers,15APR17,15MAY05,15APR17,01MAY13,15JUL06,C,15APR17,C,2017-06-01
4th,C,C,15JUL15,C,C,C,15JUL15,C,2017-06-01
Certain Religious Workers,C,C,15JUL15,C,C,C,15JUL15,C,2017-06-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08JUN14,C,C,C,2017-06-01
5th Regional Center (I5 and R5),C,C,C,C,08JUN14,C,C,C,2017-06-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2017-07-01
2nd,C,22JUL08,C,C,22MAR13,C,C,C,2017-07-01
3rd,08JUN17,15FEB06,08JUN17,15MAY14,01JAN12,C,08JUN17,C,2017-07-01
Other Workers,08JUN17,15FEB06,08JUN17,15MAY14,15JUL06,C,08JUN17,C,2017-07-01
4th,C,15AUG15,15AUG15,C,C,C,15AUG15,C,2017-07-01
Certain Religious Workers,C,15AUG15,15AUG15,C,C,C,15AUG15,C,2017-07-01
5th Non-Regional Center (C5 and T5),C,C,C,C,08JUN14,C,C,C,2017-07-01
5th Regional Center (I5 and R5),C,C,C,C,08JUN14,C,C,C,2017-07-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2017-08-01
2nd,01APR15,22JUL08,01APR15,01APR15,22APR13,C,01APR15,C,2017-08-01
3rd,C,15JUL06,C,01JUN15,01JAN12,C,C,C,2017-08-01
Other Workers,C,15JUL06,C,01JUN15,01JAN04,C,C,C,2017-08-01
4th,C,15SEP15,15SEP15,C,C,C,15SEP15,C,2017-08-01
Certain Religious Workers,C,15SEP15,15SEP15,C,C,C,15SEP15,C,2017-08-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15JUN14,C,C,C,2017-08-01
5th Regional Center (I5 and R5),C,C,C,C,15JUN14,C,C,C,2017-08-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2017-09-01
2nd,01JAN16,22AUG08,01JAN16,01JAN16,15MAY13,C,01JAN16,C,2017-09-01
3rd,C,15OCT06,C,01NOV15,01JAN12,C,C,C,2017-09-01
Other Workers,C,15OCT06,C,01NOV15,01JAN04,C,C,C,2017-09-01
4th,C,22OCT15,22OCT15,C,C,C,22OCT15,C,2017-09-01
Certain Religious Workers,C,22OCT15,22OCT15,C,C,C,22OCT15,C,2017-09-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15JUN14,C,C,C,2017-09-01
5th Regional Center (I5 and R5),C,C,C,C,15JUN14,C,C,C,2017-09-01
1st,C,C,C,C,C,C,C,C,2017-10-01
2nd,C,15SEP08,C,C,22MAY13,C,C,C,2017-10-01
3rd,C,15OCT06,C,01DEC15,01JAN14,C,C,C,2017-10-01
Other Workers,C,15OCT06,C,01DEC15,01JAN06,C,C,C,2017-10-01
4th,C,C,01MAR16,C,C,C,01NOV15,C,2017-10-01
Certain Religious Workers,C,C,01MAR16,C,C,C,01NOV15,C,2017-10-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUN14,C,C,C,2017-10-01
5th Regional Center (I5 and R5),C,C,C,C,22JUN14,C,C,C,2017-10-01
1st,C,C,C,C,C,C,C,C,2017-11-01
2nd,C,08OCT08,C,C,15JUN13,C,C,C,2017-11-01
3rd,C,15OCT06,C,15JAN16,01FEB14,C,C,C,2017-11-01
Other Workers,C,15OCT06,C,15JAN16,01APR06,C,C,C,2017-11-01
4th,C,C,01APR16,C,C,C,01NOV15,C,2017-11-01
Certain Religious Workers,C,C,01APR16,C,C,C,01NOV15,C,2017-11-01
5th Non-Regional Center (C5 and T5),C,C,C,C,01JUL14,C,C,C,2017-11-01
5th Regional Center (I5 and R5),C,C,C,C,01JUL14,C,C,C,2017-11-01
1st,C,C,C,C,C,C,C,C,2017-12-01
2nd,C,01NOV08,C,C,01JUL13,C,C,C,2017-12-01
3rd,C,15OCT06,C,15JAN16,08MAR14,C,C,C,2017-12-01
Other Workers,C,15OCT06,C,15JAN16,01JUL06,C,C,C,2017-12-01
4th,C,C,22APR16,C,C,C,08NOV15,C,2017-12-01
Certain Religious Workers,C,C,22APR16,C,C,C,08NOV15,C,2017-12-01
5th Non-Regional Center (C5 and T5),C,C,C,C,15JUL14,C,C,C,2017-12-01
5th Regional Center (I5 and R5),C,C,C,C,15JUL14,C,C,C,2017-12-01
1st,C,C,C,C,C,C,C,C,2018-01-01
2nd,C,22NOV08,C,C,08AUG13,C,C,C,2018-01-01
3rd,C,01NOV06,C,15FEB16,15APR14,C,C,C,2018-01-01
Other Workers,C,01NOV06,C,15FEB16,22DEC06,C,C,C,2018-01-01
4th,C,C,01JUN16,C,C,C,01DEC15,C,2018-01-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2018-01-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUL14,C,C,C,2018-01-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2018-01-01
1st,C,C,C,C,C,C,C,C,2018-02-01
2nd,C,08DEC08,C,C,01OCT13,C,C,C,2018-02-01
3rd,C,01DEC06,C,01MAR16,15SEP14,C,C,C,2018-02-01
Other Workers,C,01DEC06,C,01MAR16,01FEB07,C,C,C,2018-02-01
4th,C,C,22JUN16,C,C,C,01DEC15,C,2018-02-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2018-02-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUL14,C,C,C,2018-02-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2018-02-01
1st,C,C,C,C,C,C,C,C,2018-03-01
2nd,C,15DEC08,C,C,08DEC13,C,C,C,2018-03-01
3rd,C,01JAN07,C,01MAY16,15NOV14,C,C,C,2018-03-01
Other Workers,C,01JAN07,C,01MAY16,01MAR07,C,C,C,2018-03-01
4th,C,C,01JUL16,C,C,C,01DEC15,C,2018-03-01
Certain Religious Workers,C,C,01JUL16,C,C,C,01DEC15,C,2018-03-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUL14,C,C,C,2018-03-01
5th Regional Center (I5 and R5),C,C,C,C,22JUL14,C,C,C,2018-03-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2018-04-01
2nd,C,22DEC08,C,C,01AUG14,C,C,C,2018-04-01
3rd,C,01FEB08,C,01JAN17,01JUN15,C,C,C,2018-04-01
Other Workers,C,01FEB08,C,01JAN17,01APR07,C,C,C,2018-04-01
4th,C,C,08AUG16,C,C,C,15DEC15,C,2018-04-01
Certain Religious Workers,U,U,U,U,U,C,U,C,2018-04-01
5th Non-Regional Center (C5 and T5),C,C,C,C,22JUL14,C,C,C,2018-04-01
5th Regional Center (I5 and R5),U,U,U,U,U,C,U,C,2018-04-01
1st,C,01JAN12,C,C,01JAN12,C,C,C,2018-05-01
2nd,C,22DEC08,C,C,01SEP14,C,C,C,2018-05-01
