Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
Other Workers,10/22/06,10/15/02,10/22/06,8/1/06,6/22/03,C,C,C,10/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/12,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,10/1/12,Certain Religious Workers
5th Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,10/1/12,5th Targeted Employment Areas
5th Pilot Programs,U,U,U,U,U,C,C,C,10/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/12,1st
2nd,C,9/1/04,C,C,9/1/07,C,C,C,11/1/12,2nd
3rd,11/22/06,10/22/02,11/22/06,8/8/06,4/15/06,C,C,C,11/1/12,3rd
Other Workers,11/22/06,10/22/02,11/22/06,8/8/06,7/1/03,C,C,C,11/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,11/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/12,1st
2nd,C,9/1/04,C,C,10/22/07,C,C,C,12/1/12,2nd
3rd,12/22/06,11/1/02,12/22/06,8/15/06,7/1/06,C,C,C,12/1/12,3rd
Other Workers,12/22/06,11/1/02,12/22/06,8/15/06,7/1/03,C,C,C,12/1/12,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/12,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/12,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,12/1/12,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/13,1st
2nd,C,9/1/04,C,C,12/8/07,C,C,C,1/1/13,2nd
3rd,2/1/07,11/8/02,2/1/07,8/15/06,9/22/06,C,C,C,1/1/13,3rd
Other Workers,2/1/07,11/8/02,2/1/07,8/15/06,7/1/03,C,C,C,1/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,1/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/13,1st
2nd,C,9/1/04,C,C,1/15/08,C,C,C,2/1/13,2nd
3rd,3/15/07,11/15/02,3/15/07,8/22/06,11/15/06,C,C,C,2/1/13,3rd
Other Workers,3/15/07,11/15/02,3/15/07,8/22/06,7/1/03,C,C,C,2/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/13,1st
2nd,C,9/1/04,C,C,2/15/08,C,C,C,3/1/13,2nd
3rd,5/1/07,11/22/02,5/1/07,9/1/06,1/22/07,C,C,C,3/1/13,3rd
Other Workers,5/1/07,11/22/02,3/1/07,9/1/06,7/1/03,C,C,C,3/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,3/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/13,1st
2nd,C,9/1/04,C,C,4/1/08,C,C,C,4/1/13,2nd
3rd,7/1/07,12/8/02,7/1/07,9/8/06,4/22/07,C,C,C,4/1/13,3rd
Other Workers,7/1/07,12/8/02,7/1/07,9/8/06,8/1/03,C,C,C,4/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,4/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/13,1st
2nd,C,9/1/04,C,C,5/15/08,C,C,C,5/1/13,2nd
3rd,12/1/07,12/22/02,12/1/07,9/15/06,12/1/07,C,C,C,5/1/13,3rd
Other Workers,12/1/07,12/22/02,12/1/07,9/15/06,9/1/03,C,C,C,5/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,5/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/13,1st
2nd,C,9/1/04,C,C,7/15/08,C,C,C,6/1/13,2nd
3rd,9/1/08,1/8/03,9/1/08,9/22/06,9/1/08,C,C,C,6/1/13,3rd
Other Workers,9/1/08,1/8/03,9/1/08,9/22/06,10/22/03,C,C,C,6/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,6/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/13,1st
2nd,C,9/1/04,C,C,8/8/08,C,C,C,7/1/13,2nd
3rd,1/1/09,1/22/03,1/1/09,10/1/06,1/1/09,C,C,C,7/1/13,3rd
Other Workers,1/1/09,1/22/03,1/1/09,10/1/06,3/22/04,C,C,C,7/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,7/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/13,1st
2nd,C,1/1/08,C,C,8/8/08,C,C,C,8/1/13,2nd
3rd,1/1/09,1/22/03,1/1/09,10/22/06,1/1/09,C,C,C,8/1/13,3rd
Other Workers,1/1/09,1/22/03,1/1/09,10/22/06,3/22/04,C,C,C,8/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,8/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/13,1st
2nd,C,6/15/08,C,C,8/8/08,C,C,C,9/1/13,2nd
3rd,7/1/10,9/22/03,7/1/10,12/1/06,7/1/10,C,C,C,9/1/13,3rd
Other Workers,7/1/10,9/22/03,7/1/10,12/1/06,6/15/04,C,C,C,9/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,9/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/13,1st
2nd,C,6/15/08,C,C,9/15/08,C,C,C,10/1/13,2nd
3rd,7/1/10,9/22/03,7/1/10,12/15/06,7/1/10,C,C,C,10/1/13,3rd
Other Workers,7/1/10,9/22/03,7/1/10,12/15/06,9/22/04,C,C,C,10/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,10/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/13,1st
2nd,C,6/15/08,C,C,10/8/08,C,C,C,11/1/13,2nd
3rd,10/1/10,9/22/03,10/1/10,12/15/06,10/1/10,C,C,C,11/1/13,3rd
Other Workers,10/1/10,9/22/03,10/1/10,12/15/06,10/1/10,C,C,C,11/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,11/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/13,1st
2nd,C,11/15/04,C,C,11/8/08,C,C,C,12/1/13,2nd
3rd,10/1/11,9/1/03,10/1/11,1/8/07,10/1/11,C,C,C,12/1/13,3rd
Other Workers,10/1/11,9/1/03,10/1/11,1/8/07,10/1/11,C,C,C,12/1/13,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/13,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/13,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,12/1/13,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/14,1st
2nd,C,11/15/04,C,C,12/8/08,C,C,C,1/1/14,2nd
3rd,4/1/12,9/1/03,4/1/12,2/15/07,4/1/12,C,C,C,1/1/14,3rd
Other Workers,4/1/12,9/1/03,4/1/12,2/15/07,4/1/12,C,C,C,1/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,1/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/14,1st
2nd,C,11/15/04,C,C,1/8/09,C,C,C,2/1/14,2nd
3rd,6/1/12,9/1/03,6/1/12,4/15/07,6/1/12,C,C,C,2/1/14,3rd
Other Workers,6/1/12,9/1/03,6/1/12,4/15/07,6/1/12,C,C,C,2/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/14,1st
2nd,C,11/15/04,C,C,2/15/09,C,C,C,3/1/14,2nd
3rd,9/1/12,9/15/03,9/1/12,5/1/07,9/1/12,C,C,C,3/1/14,3rd
Other Workers,9/1/12,9/15/03,9/1/12,5/1/07,9/1/12,C,C,C,3/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,3/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/14,1st
2nd,C,11/15/04,C,C,3/8/09,C,C,C,4/1/14,2nd
3rd,10/1/12,9/15/03,10/1/12,6/15/07,10/1/12,C,C,C,4/1/14,3rd
Other Workers,10/1/12,9/15/03,10/1/12,6/15/07,10/1/12,C,C,C,4/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,4/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/14,1st
2nd,C,11/15/04,C,C,4/15/09,C,C,C,5/1/14,2nd
3rd,10/1/12,10/1/03,10/1/12,11/1/07,10/1/12,C,C,C,5/1/14,3rd
Other Workers,10/1/12,10/1/03,10/1/12,11/1/07,10/1/12,C,C,C,5/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,5/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/14,1st
2nd,C,11/15/04,C,C,5/22/09,C,C,C,6/1/14,2nd
3rd,4/1/11,10/15/03,4/1/11,1/1/08,10/1/06,C,C,C,6/1/14,3rd
Other Workers,4/1/11,10/15/03,4/1/11,1/1/08,1/1/03,C,C,C,6/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,6/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/14,1st
2nd,C,9/1/08,C,C,7/1/09,C,C,C,7/1/14,2nd
3rd,4/1/11,11/1/03,4/1/11,1/1/09,10/1/06,C,C,C,7/1/14,3rd
Other Workers,4/1/11,11/1/03,4/1/11,1/1/09,1/1/03,C,C,C,7/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,7/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/14,1st
2nd,C,1/22/09,C,C,10/8/09,C,C,C,8/1/14,2nd
3rd,4/1/11,11/8/03,4/1/11,6/1/10,11/1/08,C,C,C,8/1/14,3rd
Other Workers,4/1/11,11/8/03,4/1/11,6/1/10,7/22/05,C,C,C,8/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,8/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/14,1st
2nd,C,5/1/09,C,C,10/8/09,C,C,C,9/1/14,2nd
3rd,4/1/11,11/8/03,4/1/11,4/1/11,11/1/08,C,C,C,9/1/14,3rd
Other Workers,4/1/11,11/8/03,4/1/11,4/1/11,7/22/05,C,C,C,9/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,9/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/14,1st
2nd,C,5/1/09,C,C,11/15/09,C,C,C,10/1/14,2nd
3rd,10/1/11,11/15/03,10/1/11,10/1/11,4/1/09,C,C,C,10/1/14,3rd
Other Workers,10/1/11,11/15/03,10/1/11,10/1/11,7/22/05,C,C,C,10/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,10/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/14,1st
2nd,C,2/15/05,C,C,12/8/09,C,C,C,11/1/14,2nd
3rd,6/1/12,11/22/03,6/1/12,6/1/12,1/1/10,C,C,C,11/1/14,3rd
Other Workers,6/1/12,11/22/03,6/1/12,6/1/12,7/22/05,C,C,C,11/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,11/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/14,1st
2nd,C,2/15/05,C,C,1/1/10,C,C,C,12/1/14,2nd
3rd,11/1/12,12/1/03,11/1/12,11/1/12,6/1/10,C,C,C,12/1/14,3rd
Other Workers,11/1/12,12/1/03,11/1/12,11/1/12,7/22/05,C,C,C,12/1/14,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/14,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/14,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,12/1/14,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/15,1st
2nd,C,2/15/05,C,C,2/1/10,C,C,C,1/1/15,2nd
3rd,6/1/13,12/15/03,6/1/13,6/1/13,3/1/11,C,C,C,1/1/15,3rd
Other Workers,6/1/13,12/15/03,6/1/13,6/1/13,7/22/05,C,C,C,1/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,1/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/15,1st
2nd,C,9/1/05,C,C,3/15/10,C,C,C,2/1/15,2nd
3rd,1/1/14,12/22/03,1/1/14,1/1/14,9/1/11,C,C,C,2/1/15,3rd
Other Workers,1/1/14,12/22/03,1/1/14,1/1/14,8/15/05,C,C,C,2/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/15,1st
2nd,C,1/1/07,C,C,9/1/10,C,C,C,3/1/15,2nd
3rd,6/1/14,1/1/04,6/1/14,6/1/14,10/22/11,C,C,C,3/1/15,3rd
Other Workers,6/1/14,1/1/04,6/1/14,6/1/14,8/15/05,C,C,C,3/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,3/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/15,1st
2nd,C,9/1/07,C,C,4/1/11,C,C,C,4/1/15,2nd
3rd,10/1/14,1/8/04,10/1/14,10/1/14,1/1/11,C,C,C,4/1/15,3rd
Other Workers,10/1/14,1/8/04,10/1/14,10/1/14,8/15/05,C,C,C,4/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,4/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/15,1st
2nd,C,4/15/08,C,C,6/1/12,C,C,C,5/1/15,2nd
3rd,1/1/15,1/15/04,1/1/15,7/1/07,5/1/11,C,C,C,5/1/15,3rd
Other Workers,1/1/15,1/15/04,1/1/15,7/1/07,11/15/05,C,C,C,5/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,5/1/13,C,C,C,5/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/15,1st
2nd,C,10/1/08,C,C,6/1/13,C,C,C,6/1/15,2nd
3rd,2/15/15,1/22/04,2/15/15,1/1/05,9/1/11,C,C,C,6/1/15,3rd
Other Workers,2/15/15,1/22/04,2/15/15,1/1/05,1/1/06,C,C,C,6/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,5/1/13,C,C,C,6/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/15,1st
2nd,C,10/1/08,C,C,10/1/13,C,C,C,7/1/15,2nd
3rd,4/1/15,2/1/04,4/1/15,U,9/1/11,C,C,C,7/1/15,3rd
Other Workers,4/1/15,2/1/04,4/1/15,U,1/1/06,C,C,C,7/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,9/1/13,C,C,C,7/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/15,1st
2nd,C,10/1/08,C,C,12/15/13,C,C,C,8/1/15,2nd
3rd,7/15/15,6/1/04,7/15/15,6/1/04,6/1/04,C,C,C,8/1/15,3rd
Other Workers,7/15/15,6/1/04,7/15/15,6/1/04,1/1/04,C,C,C,8/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/15,Certain Religious Workers
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,9/1/13,C,C,C,8/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/15,1st
2nd,C,1/1/06,C,C,1/1/06,C,C,C,9/1/15,2nd
3rd,8/15/15,12/22/04,8/15/15,12/22/04,12/22/04,C,C,C,9/1/15,3rd
Other Workers,8/15/15,12/22/04,8/15/15,12/22/04,1/1/04,C,C,C,9/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/15,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,9/22/13,C,C,C,9/1/15,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,9/22/13,C,C,C,9/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/15,1st
2nd,C,5/1/05,C,C,1/1/12,C,C,C,10/1/15,2nd
3rd,8/15/15,3/8/04,8/15/15,1/1/07,10/15/11,C,C,C,10/1/15,3rd
Other Workers,8/15/15,3/8/04,8/15/15,1/1/07,1/1/06,C,C,C,10/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/15,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,10/1/15,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,10/8/13,C,C,C,10/1/15,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,C,C,10/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/15,1st
2nd,C,8/1/06,C,C,2/1/12,C,C,C,11/1/15,2nd
3rd,8/15/15,4/1/04,8/15/15,6/15/07,1/1/12,C,C,C,11/1/15,3rd
Other Workers,8/15/15,4/1/04,8/15/15,6/15/07,4/1/06,C,C,C,11/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/15,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,11/22/13,C,C,C,11/1/15,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,11/22/13,C,C,C,11/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/15,1st
2nd,C,6/1/07,C,C,2/1/12,C,C,C,12/1/15,2nd
3rd,9/1/15,4/22/04,9/1/15,8/1/07,4/15/12,C,C,C,12/1/15,3rd
Other Workers,9/1/15,4/22/04,9/1/15,8/1/07,8/1/06,C,C,C,12/1/15,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/15,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/15,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,12/15/13,C,C,C,12/1/15,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,12/15/13,C,C,C,12/1/15,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/16,1st
2nd,C,2/1/08,C,C,2/1/12,C,C,C,1/1/16,2nd
3rd,10/1/15,5/15/04,10/1/15,11/1/07,7/1/12,C,C,C,1/1/16,3rd
Other Workers,10/1/15,5/15/04,10/1/15,11/1/07,12/1/06,C,C,C,1/1/16,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/16,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,1/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,1/8/14,C,C,C,1/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),U,U,U,U,U,C,C,C,1/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/16,1st
2nd,C,8/1/08,C,C,3/1/12,C,C,C,2/1/16,2nd
3rd,10/1/15,6/15/04,10/1/15,1/8/08,10/1/12,C,C,C,2/1/16,3rd
Other Workers,10/1/15,6/15/04,10/1/15,1/8/08,12/22/06,C,C,C,2/1/16,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/16,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,1/15/14,C,C,C,2/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,1/15/14,C,C,C,2/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/16,1st
2nd,C,10/15/08,C,C,8/1/12,C,C,C,3/1/16,2nd
3rd,1/1/16,7/15/04,1/1/16,3/15/08,6/1/13,C,C,C,3/1/16,3rd
Other Workers,1/1/16,7/15/04,1/1/16,3/15/08,2/1/07,C,C,C,3/1/16,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/16,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,1/22/14,C,C,C,3/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,1/22/14,C,C,C,3/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/16,1st
2nd,C,11/8/08,C,C,9/1/12,C,C,C,4/1/16,2nd
3rd,2/15/16,8/8/04,2/15/16,5/1/08,8/15/13,C,C,C,4/1/16,3rd
Other Workers,2/15/16,8/8/04,2/15/16,5/1/08,3/1/07,C,C,C,4/1/16,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/16,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/1/14,C,C,C,4/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,2/1/14,C,C,C,4/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/16,1st
2nd,C,11/22/08,C,C,9/1/12,C,C,C,5/1/16,2nd
3rd,2/15/16,9/1/04,2/15/16,8/8/08,8/15/13,C,2/15/16,C,5/1/16,3rd
Other Workers,2/15/16,9/1/04,2/15/16,8/8/08,4/22/07,C,2/15/16,C,5/1/16,Other Workers
4th,C,C,C,C,C,C,1/1/10,C,5/1/16,4th
Certain Religious Workers,C,C,C,C,C,C,1/1/10,C,5/1/16,Certain Religious Workers
5th Non-Regional Center (C5 and T5),C,C,C,C,2/8/14,C,C,C,5/1/16,5th Non-Regional Center
5th Regional Center (I5 and R5),C,C,C,C,2/8/14,C,C,C,5/1/16,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/16,1st
2nd,C,10/1/04,C,C,1/1/10,C,C,C,6/1/16,2nd
