Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,Preference
4th,C,C,C,C,C,C,C,C,2012-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-05-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-05-01,E5
1st,C,C,C,C,C,C,C,C,2012-06-01,E1
2nd,C,U,C,C,U,C,C,C,2012-06-01,E2
3rd,2006-06-08,2002-09-15,2006-06-08,2006-05-22,2005-08-08,2006-06-08,2006-06-08,2006-06-08,2012-06-01,E3
Other Workers,2006-06-08,2002-09-15,2006-06-08,2006-05-22,2003-04-22,2006-06-08,2006-06-08,2006-06-08,2012-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-06-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-06-01,E5
1st,C,C,C,C,C,C,C,C,2012-07-01,E1
2nd,2009-01-01,U,2009-01-01,2009-01-01,U,2009-01-01,2009-01-01,2009-01-01,2012-07-01,E2
3rd,2006-07-22,2002-09-22,2006-07-22,2006-06-08,2005-09-22,2006-07-22,2006-07-22,2006-07-22,2012-07-01,E3
Other Workers,2006-07-22,2002-09-22,2006-07-22,2006-06-08,2003-06-15,2006-07-22,2006-07-22,2006-07-22,2012-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-07-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-07-01,E5
1st,C,C,C,C,C,C,C,C,2012-08-01,E1
2nd,2009-01-01,U,2009-01-01,2009-01-01,U,2009-01-01,2009-01-01,2009-01-01,2012-08-01,E2
3rd,2006-09-08,2002-10-01,2006-09-08,2006-06-15,2005-11-08,2006-09-08,2006-09-08,2006-09-08,2012-08-01,E3
Other Workers,2006-09-08,2002-10-01,2006-09-08,2006-06-08,2003-06-15,2006-09-08,2006-09-08,2006-09-08,2012-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-08-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-08-01,E5
1st,C,C,C,C,C,C,C,C,2012-09-01,E1
2nd,2009-01-01,U,2009-01-01,2009-01-01,U,2009-01-01,2009-01-01,2009-01-01,2012-09-01,E2
3rd,2006-10-01,2002-10-08,2006-10-01,2006-08-01,2005-12-15,2006-10-01,2006-10-01,2006-10-01,2012-09-01,E3
Other Workers,2006-10-01,2002-10-08,2006-10-01,2006-08-01,2003-06-22,2006-10-01,2006-10-01,2006-10-01,2012-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-09-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-09-01,E5
1st,C,C,C,C,C,C,C,C,2012-10-01,E1
2nd,2012-01-01,2004-09-01,2012-01-01,2012-01-01,2007-07-15,2012-01-01,2012-01-01,2012-01-01,2012-10-01,E2
3rd,2006-10-22,2002-10-15,2006-10-22,2006-08-01,2006-02-08,2006-10-22,2006-10-22,2006-10-22,2012-10-01,E3
Other Workers,2006-10-22,2002-10-15,2006-10-22,2006-08-01,2003-06-22,2006-10-22,2006-10-22,2006-10-22,2012-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-10-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2012-10-01,E4_R
5th Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2012-10-01,E5
5th Pilot Programs,U,U,U,U,U,U,U,U,2012-10-01,E5
1st,C,C,C,C,C,C,C,C,2012-11-01,E1
2nd,C,2004-09-01,C,C,2007-09-01,C,C,C,2012-11-01,E2
3rd,2006-11-22,2002-10-22,2006-11-22,2006-08-08,2006-04-15,2006-11-22,2006-11-22,2006-11-22,2012-11-01,E3
Other Workers,2006-11-22,2002-10-22,2006-11-22,2006-08-08,2003-07-01,2006-11-22,2006-11-22,2006-11-22,2012-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-11-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-11-01,E5
1st,C,C,C,C,C,C,C,C,2012-12-01,E1
2nd,C,2004-09-01,C,C,2007-10-22,C,C,C,2012-12-01,E2
3rd,2006-12-22,2002-11-01,2006-12-22,2006-08-15,2006-07-01,2006-12-22,2006-12-22,2006-12-22,2012-12-01,E3
Other Workers,2006-12-22,2002-11-01,2006-12-22,2006-08-15,2003-07-01,2006-12-22,2006-12-22,2006-12-22,2012-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2012-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2012-12-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2012-12-01,E5
1st,C,C,C,C,C,C,C,C,2013-01-01,E1
2nd,C,2004-09-01,C,C,2007-12-08,C,C,C,2013-01-01,E2
3rd,2007-02-01,2002-11-08,2007-02-01,2006-08-15,2006-09-22,2007-02-01,2007-02-01,2007-02-01,2013-01-01,E3
Other Workers,2007-02-01,2002-11-08,2007-02-01,2006-08-15,2003-07-01,2007-02-01,2007-02-01,2007-02-01,2013-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-01-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-01-01,E5
1st,C,C,C,C,C,C,C,C,2013-02-01,E1
2nd,C,2004-09-01,C,C,2008-01-15,C,C,C,2013-02-01,E2
3rd,2007-03-15,2002-11-15,2007-03-15,2006-08-22,2006-11-15,2007-03-15,2007-03-15,2007-03-15,2013-02-01,E3
Other Workers,2007-03-15,2002-11-15,2007-03-15,2006-08-22,2003-07-01,2007-03-15,2007-03-15,2007-03-15,2013-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-02-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-02-01,E5
1st,C,C,C,C,C,C,C,C,2013-03-01,E1
2nd,C,2004-09-01,C,C,2008-02-15,C,C,C,2013-03-01,E2
3rd,2007-05-01,2002-11-22,2007-05-01,2006-09-01,2007-01-22,2007-05-01,2007-05-01,2007-05-01,2013-03-01,E3
Other Workers,2007-05-01,2002-11-22,2007-03-01,2006-09-01,2003-07-01,2007-05-01,2007-05-01,2007-05-01,2013-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-03-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-03-01,E5
1st,C,C,C,C,C,C,C,C,2013-04-01,E1
2nd,C,2004-09-01,C,C,2008-04-01,C,C,C,2013-04-01,E2
3rd,2007-07-01,2002-12-08,2007-07-01,2006-09-08,2007-04-22,2007-07-01,2007-07-01,2007-07-01,2013-04-01,E3
Other Workers,2007-07-01,2002-12-08,2007-07-01,2006-09-08,2003-08-01,2007-07-01,2007-07-01,2007-07-01,2013-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-04-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-04-01,E5
1st,C,C,C,C,C,C,C,C,2013-05-01,E1
2nd,C,2004-09-01,C,C,2008-05-15,C,C,C,2013-05-01,E2
3rd,2007-12-01,2002-12-22,2007-12-01,2006-09-15,2007-12-01,2007-12-01,2007-12-01,2007-12-01,2013-05-01,E3
Other Workers,2007-12-01,2002-12-22,2007-12-01,2006-09-15,2003-09-01,2007-12-01,2007-12-01,2007-12-01,2013-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-05-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-05-01,E5
1st,C,C,C,C,C,C,C,C,2013-06-01,E1
2nd,C,2004-09-01,C,C,2008-07-15,C,C,C,2013-06-01,E2
3rd,2008-09-01,2003-01-08,2008-09-01,2006-09-22,2008-09-01,2008-09-01,2008-09-01,2008-09-01,2013-06-01,E3
Other Workers,2008-09-01,2003-01-08,2008-09-01,2006-09-22,2003-10-22,2008-09-01,2008-09-01,2008-09-01,2013-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-06-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-06-01,E5
1st,C,C,C,C,C,C,C,C,2013-07-01,E1
2nd,C,2004-09-01,C,C,2008-08-08,C,C,C,2013-07-01,E2
3rd,2009-01-01,2003-01-22,2009-01-01,2006-10-01,2009-01-01,2009-01-01,2009-01-01,2009-01-01,2013-07-01,E3
Other Workers,2009-01-01,2003-01-22,2009-01-01,2006-10-01,2004-03-22,2009-01-01,2009-01-01,2009-01-01,2013-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-07-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-07-01,E5
1st,C,C,C,C,C,C,C,C,2013-08-01,E1
2nd,C,2008-01-01,C,C,2008-08-08,C,C,C,2013-08-01,E2
3rd,2009-01-01,2003-01-22,2009-01-01,2006-10-22,2009-01-01,2009-01-01,2009-01-01,2009-01-01,2013-08-01,E3
Other Workers,2009-01-01,2003-01-22,2009-01-01,2006-10-22,2004-03-22,2009-01-01,2009-01-01,2009-01-01,2013-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-08-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-08-01,E5
1st,C,C,C,C,C,C,C,C,2013-09-01,E1
2nd,C,2008-06-15,C,C,2008-08-08,C,C,C,2013-09-01,E2
3rd,2010-07-01,2003-09-22,2010-07-01,2006-12-01,2010-07-01,2010-07-01,2010-07-01,2010-07-01,2013-09-01,E3
Other Workers,2010-07-01,2003-09-22,2010-07-01,2006-12-01,2004-06-15,2010-07-01,2010-07-01,2010-07-01,2013-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-09-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-09-01,E5
1st,C,C,C,C,C,C,C,C,2013-10-01,E1
2nd,C,2008-06-15,C,C,2008-09-15,C,C,C,2013-10-01,E2
3rd,2010-07-01,2003-09-22,2010-07-01,2006-12-15,2010-07-01,2010-07-01,2010-07-01,2010-07-01,2013-10-01,E3
Other Workers,2010-07-01,2003-09-22,2010-07-01,2006-12-15,2004-09-22,2010-07-01,2010-07-01,2010-07-01,2013-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-10-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-10-01,E5
1st,C,C,C,C,C,C,C,C,2013-11-01,E1
2nd,C,2008-06-15,C,C,2008-10-08,C,C,C,2013-11-01,E2
3rd,2010-10-01,2003-09-22,2010-10-01,2006-12-15,2010-10-01,2010-10-01,2010-10-01,2010-10-01,2013-11-01,E3
Other Workers,2010-10-01,2003-09-22,2010-10-01,2006-12-15,2010-10-01,2010-10-01,2010-10-01,2010-10-01,2013-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-11-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-11-01,E5
1st,C,C,C,C,C,C,C,C,2013-12-01,E1
2nd,C,2004-11-15,C,C,2008-11-08,C,C,C,2013-12-01,E2
3rd,2011-10-01,2003-09-01,2011-10-01,2007-01-08,2011-10-01,2011-10-01,2011-10-01,2011-10-01,2013-12-01,E3
Other Workers,2011-10-01,2003-09-01,2011-10-01,2007-01-08,2011-10-01,2011-10-01,2011-10-01,2011-10-01,2013-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2013-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2013-12-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2013-12-01,E5
1st,C,C,C,C,C,C,C,C,2014-01-01,E1
2nd,C,2004-11-15,C,C,2008-12-08,C,C,C,2014-01-01,E2
3rd,2012-04-01,2003-09-01,2012-04-01,2007-02-15,2012-04-01,2012-04-01,2012-04-01,2012-04-01,2014-01-01,E3
Other Workers,2012-04-01,2003-09-01,2012-04-01,2007-02-15,2012-04-01,2012-04-01,2012-04-01,2012-04-01,2014-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-01-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-01-01,E5
1st,C,C,C,C,C,C,C,C,2014-02-01,E1
2nd,C,2004-11-15,C,C,2009-01-08,C,C,C,2014-02-01,E2
3rd,2012-06-01,2003-09-01,2012-06-01,2007-04-15,2012-06-01,2012-06-01,2012-06-01,2012-06-01,2014-02-01,E3
Other Workers,2012-06-01,2003-09-01,2012-06-01,2007-04-15,2012-06-01,2012-06-01,2012-06-01,2012-06-01,2014-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-02-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-02-01,E5
1st,C,C,C,C,C,C,C,C,2014-03-01,E1
2nd,C,2004-11-15,C,C,2009-02-15,C,C,C,2014-03-01,E2
3rd,2012-09-01,2003-09-15,2012-09-01,2007-05-01,2012-09-01,2012-09-01,2012-09-01,2012-09-01,2014-03-01,E3
Other Workers,2012-09-01,2003-09-15,2012-09-01,2007-05-01,2012-09-01,2012-09-01,2012-09-01,2012-09-01,2014-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-03-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-03-01,E5
1st,C,C,C,C,C,C,C,C,2014-04-01,E1
2nd,C,2004-11-15,C,C,2009-03-08,C,C,C,2014-04-01,E2
3rd,2012-10-01,2003-09-15,2012-10-01,2007-06-15,2012-10-01,2012-10-01,2012-10-01,2012-10-01,2014-04-01,E3
Other Workers,2012-10-01,2003-09-15,2012-10-01,2007-06-15,2012-10-01,2012-10-01,2012-10-01,2012-10-01,2014-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-04-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-04-01,E5
1st,C,C,C,C,C,C,C,C,2014-05-01,E1
2nd,C,2004-11-15,C,C,2009-04-15,C,C,C,2014-05-01,E2
3rd,2012-10-01,2003-10-01,2012-10-01,2007-11-01,2012-10-01,2012-10-01,2012-10-01,2012-10-01,2014-05-01,E3
Other Workers,2012-10-01,2003-10-01,2012-10-01,2007-11-01,2012-10-01,2012-10-01,2012-10-01,2012-10-01,2014-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-05-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-05-01,E5
1st,C,C,C,C,C,C,C,C,2014-06-01,E1
2nd,C,2004-11-15,C,C,2009-05-22,C,C,C,2014-06-01,E2
3rd,2011-04-01,2003-10-15,2011-04-01,2008-01-01,2006-10-01,2011-04-01,2011-04-01,2011-04-01,2014-06-01,E3
Other Workers,2011-04-01,2003-10-15,2011-04-01,2008-01-01,2003-01-01,2011-04-01,2011-04-01,2011-04-01,2014-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-06-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-06-01,E5
1st,C,C,C,C,C,C,C,C,2014-07-01,E1
2nd,C,2008-09-01,C,C,2009-07-01,C,C,C,2014-07-01,E2
3rd,2011-04-01,2003-11-01,2011-04-01,2009-01-01,2006-10-01,2011-04-01,2011-04-01,2011-04-01,2014-07-01,E3
Other Workers,2011-04-01,2003-11-01,2011-04-01,2009-01-01,2003-01-01,2011-04-01,2011-04-01,2011-04-01,2014-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-07-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-07-01,E5
1st,C,C,C,C,C,C,C,C,2014-08-01,E1
2nd,C,2009-01-22,C,C,2009-10-08,C,C,C,2014-08-01,E2
3rd,2011-04-01,2003-11-08,2011-04-01,2010-06-01,2008-11-01,2011-04-01,2011-04-01,2011-04-01,2014-08-01,E3
Other Workers,2011-04-01,2003-11-08,2011-04-01,2010-06-01,2005-07-22,2011-04-01,2011-04-01,2011-04-01,2014-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-08-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-08-01,E5
1st,C,C,C,C,C,C,C,C,2014-09-01,E1
2nd,C,2009-05-01,C,C,2009-10-08,C,C,C,2014-09-01,E2
3rd,2011-04-01,2003-11-08,2011-04-01,2011-04-01,2008-11-01,2011-04-01,2011-04-01,2011-04-01,2014-09-01,E3
Other Workers,2011-04-01,2003-11-08,2011-04-01,2011-04-01,2005-07-22,2011-04-01,2011-04-01,2011-04-01,2014-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-09-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-09-01,E5
1st,C,C,C,C,C,C,C,C,2014-10-01,E1
2nd,C,2009-05-01,C,C,2009-11-15,C,C,C,2014-10-01,E2
3rd,2011-10-01,2003-11-15,2011-10-01,2011-10-01,2009-04-01,2011-10-01,2011-10-01,2011-10-01,2014-10-01,E3
Other Workers,2011-10-01,2003-11-15,2011-10-01,2011-10-01,2005-07-22,2011-10-01,2011-10-01,2011-10-01,2014-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-10-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-10-01,E5
1st,C,C,C,C,C,C,C,C,2014-11-01,E1
2nd,C,2005-02-15,C,C,2009-12-08,C,C,C,2014-11-01,E2
3rd,2012-06-01,2003-11-22,2012-06-01,2012-06-01,2010-01-01,2012-06-01,2012-06-01,2012-06-01,2014-11-01,E3
Other Workers,2012-06-01,2003-11-22,2012-06-01,2012-06-01,2005-07-22,2012-06-01,2012-06-01,2012-06-01,2014-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-11-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-11-01,E5
1st,C,C,C,C,C,C,C,C,2014-12-01,E1
2nd,C,2005-02-15,C,C,2010-01-01,C,C,C,2014-12-01,E2
3rd,2012-11-01,2003-12-01,2012-11-01,2012-11-01,2010-06-01,2012-11-01,2012-11-01,2012-11-01,2014-12-01,E3
Other Workers,2012-11-01,2003-12-01,2012-11-01,2012-11-01,2005-07-22,2012-11-01,2012-11-01,2012-11-01,2014-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2014-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2014-12-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2014-12-01,E5
1st,C,C,C,C,C,C,C,C,2015-01-01,E1
2nd,C,2005-02-15,C,C,2010-02-01,C,C,C,2015-01-01,E2
3rd,2013-06-01,2003-12-15,2013-06-01,2013-06-01,2011-03-01,2013-06-01,2013-06-01,2013-06-01,2015-01-01,E3
Other Workers,2013-06-01,2003-12-15,2013-06-01,2013-06-01,2005-07-22,2013-06-01,2013-06-01,2013-06-01,2015-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-01-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-01-01,E5
1st,C,C,C,C,C,C,C,C,2015-02-01,E1
2nd,C,2005-09-01,C,C,2010-03-15,C,C,C,2015-02-01,E2
3rd,2014-01-01,2003-12-22,2014-01-01,2014-01-01,2011-09-01,2014-01-01,2014-01-01,2014-01-01,2015-02-01,E3
Other Workers,2014-01-01,2003-12-22,2014-01-01,2014-01-01,2005-08-15,2014-01-01,2014-01-01,2014-01-01,2015-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-02-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-02-01,E5
1st,C,C,C,C,C,C,C,C,2015-03-01,E1
2nd,C,2007-01-01,C,C,2010-09-01,C,C,C,2015-03-01,E2
3rd,2014-06-01,2004-01-01,2014-06-01,2014-06-01,2011-10-22,2014-06-01,2014-06-01,2014-06-01,2015-03-01,E3
Other Workers,2014-06-01,2004-01-01,2014-06-01,2014-06-01,2005-08-15,2014-06-01,2014-06-01,2014-06-01,2015-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-03-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-03-01,E5
1st,C,C,C,C,C,C,C,C,2015-04-01,E1
2nd,C,2007-09-01,C,C,2011-04-01,C,C,C,2015-04-01,E2
3rd,2014-10-01,2004-01-08,2014-10-01,2014-10-01,2011-01-01,2014-10-01,2014-10-01,2014-10-01,2015-04-01,E3
Other Workers,2014-10-01,2004-01-08,2014-10-01,2014-10-01,2005-08-15,2014-10-01,2014-10-01,2014-10-01,2015-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-04-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,C,C,C,C,2015-04-01,E5
1st,C,C,C,C,C,C,C,C,2015-05-01,E1
2nd,C,2008-04-15,C,C,2012-06-01,C,C,C,2015-05-01,E2
3rd,2015-01-01,2004-01-15,2015-01-01,2007-07-01,2011-05-01,2015-01-01,2015-01-01,2015-01-01,2015-05-01,E3
Other Workers,2015-01-01,2004-01-15,2015-01-01,2007-07-01,2005-11-15,2015-01-01,2015-01-01,2015-01-01,2015-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-05-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,2013-05-01,C,C,C,2015-05-01,E5
1st,C,C,C,C,C,C,C,C,2015-06-01,E1
2nd,C,2008-10-01,C,C,2013-06-01,C,C,C,2015-06-01,E2
3rd,2015-02-15,2004-01-22,2015-02-15,2005-01-01,2011-09-01,2015-02-15,2015-02-15,2015-02-15,2015-06-01,E3
Other Workers,2015-02-15,2004-01-22,2015-02-15,2005-01-01,2006-01-01,2015-02-15,2015-02-15,2015-02-15,2015-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-06-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,2013-05-01,C,C,C,2015-06-01,E5
1st,C,C,C,C,C,C,C,C,2015-07-01,E1
2nd,C,2008-10-01,C,C,2013-10-01,C,C,C,2015-07-01,E2
3rd,2015-04-01,2004-02-01,2015-04-01,U,2011-09-01,2015-04-01,2015-04-01,2015-04-01,2015-07-01,E3
Other Workers,2015-04-01,2004-02-01,2015-04-01,U,2006-01-01,2015-04-01,2015-04-01,2015-04-01,2015-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-07-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,2013-09-01,C,C,C,2015-07-01,E5
1st,C,C,C,C,C,C,C,C,2015-08-01,E1
2nd,C,2008-10-01,C,C,2013-12-15,C,C,C,2015-08-01,E2
3rd,2015-07-15,2004-06-01,2015-07-15,2004-06-01,2004-06-01,2015-07-15,2015-07-15,2015-07-15,2015-08-01,E3
Other Workers,2015-07-15,2004-06-01,2015-07-15,2004-06-01,2004-01-01,2015-07-15,2015-07-15,2015-07-15,2015-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-08-01,E4_R
5th Targeted EmploymentAreas/ Regional Centers and Pilot Programs,C,C,C,C,2013-09-01,C,C,C,2015-08-01,E5
1st,C,C,C,C,C,C,C,C,2015-09-01,E1
2nd,C,2006-01-01,C,C,2006-01-01,C,C,C,2015-09-01,E2
3rd,2015-08-15,2004-12-22,2015-08-15,2004-12-22,2004-12-22,2015-08-15,2015-08-15,2015-08-15,2015-09-01,E3
Other Workers,2015-08-15,2004-12-22,2015-08-15,2004-12-22,2004-01-01,2015-08-15,2015-08-15,2015-08-15,2015-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2015-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2015-09-01,E4_R
5th Non-Regional Center (C5 and T5),C,C,C,C,2013-09-22,C,C,C,2015-09-01,E5
5th Regional Center (I5 and R5),C,C,C,C,2013-09-22,C,C,C,2015-09-01,E5
1st,C,C,C,C,C,C,C,C,2015-10-01,E1
2nd,C,2005-05-01,C,C,2012-01-01,C,C,C,2015-10-01,E2
